cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
84,613,441,73852,73391,90,0,2,0,231,4.18331e+08
89,775,446,76869,76455,139,0,1,0,238,9.21646e+08
80,486,403,69218,68837,86,0,3,0,215,2.43631e+08
25,148,119,21019,20883,20,0,1,0,65,8.82362e+06
67,396,343,55377,55143,39,0,2,0,182,9.97543e+07
28,148,120,23858,23732,18,0,1,0,68,7.79984e+06
11,84,61,12315,12238,5,0,2,0,32,1.29455e+06
49,471,241,42000,41760,43,0,5,0,130,6.5492e+07
85,569,442,78114,77800,99,0,2,0,233,3.83241e+08
5,21,19,4966,4956,3,0,0,0,12,87700.3
46,285,223,40937,40751,37,0,3,0,121,4.90032e+07
26,187,151,25438,25237,29,0,2,0,77,1.99003e+07
50,454,258,45842,45612,57,0,1,0,136,1.23155e+08
40,290,174,34998,34746,42,0,0,0,98,4.10449e+07
60,622,367,53071,52802,56,0,5,0,183,2.27164e+08
46,312,244,44986,44632,62,2,0,0,128,9.18922e+07
14,133,68,12666,12554,10,0,0,0,37,4.50553e+06
97,627,482,90754,90079,152,0,7,0,258,6.49737e+08
92,754,513,83725,83245,123,2,2,0,263,8.55805e+08
23,147,110,21502,21335,16,0,2,0,60,5.97507e+06
2,17,9,1509,1509,0,0,0,0,5,23342.5
97,1004,529,83723,83424,90,6,10,0,274,1.46777e+09
98,742,472,85673,85296,147,0,4,0,256,7.12956e+08
38,269,195,32038,31664,40,0,2,0,103,3.97285e+07
49,437,252,42293,42100,43,0,2,0,133,1.01386e+08
100,769,457,80896,80666,82,0,2,0,253,3.99207e+08
35,228,147,27549,27329,31,0,0,0,84,2.04153e+07
14,58,53,12702,12628,5,0,1,0,32,702933
11,99,52,10873,10792,5,0,0,0,29,945099
35,378,195,32514,32223,43,0,2,0,100,7.58304e+07
